,Unnamed: 0,Title,Paragraph Text,Page No
81,81,SECTIONS,application or appeal to tribunal each application under section and or an appeal under section shall be make to the tribunal in such form contain such particular and by such document and such fee a may be without prejudice to the sion contain in section an application for grant of relief or compensation or settlement of dispute may be make to the tribunal by a the person who have sustain the injury orb the owner of the property to which the damage have be cause,9
82,82,SECTIONS,orc where death have result from the environmental damage by all or any of the of the decease any agent duly a ut ho rise by such person or owner of such property or all or any of the of the decease a the case may be ore any person aggrieve include any representative body or organ is at ion orf the central government or a state government or a union territory administration or the central pollution control board or a state pollution control board or a pollution control committee or,9
83,83,SECTIONS,a local authority or any environmental authority constitute or establish under the environment protection act of or any other law for the time be in that where all the legal representative of the decease have not join in any such application for compensation or relief or settlement of dispute the application shall be mad e on behalf of or for the benefit of all the legal representative of the decease and the who have not so join shall be imp leaded a respondent to the,9
84,84,SECTIONS,application provided far that the person the owner the legal represent agent representative body or organ is at ion shall not be entitle to make an application for grant of relief or compensation or settlement of dispute if such person the owner the legal representative agent representative body or organ is at ion have prefer an appeal under section the application or a the case may be the appeal file before the tribunal under this act shall be dealt with by it a expeditiously a possible and en de avo ur shall be make,9
85,85,SECTIONS,by it to dispose of the application o r a the case may be the appeal finally within six month from the date of filing of the application or a the case may be the appeal after provide the party concerned an opportunity to,9
86,86,SECTIONS,procedure and power of tribunal the tri bun al shall not be bound by the procedure laid down by the code of civil procedure of but shall be guide by the principle of subject to the provision of this act the tribunal shall have power to regulate it own the tribunal shall also not be bound by the rule of evidence contain in the in dian evidence act of the tribunal shall have for the purpose of discharge it function under this act the same pow ers a be,10
87,87,SECTIONS,in a civil court under th e code of civil procedure of while try a suit in respect of the follow matter namely a summon and enforce the attendance of any person and examine him on require the discovery and of document c receive evidence on subject to the provision of section and of the in dian evidence act of requisition any public record or document or copy of such record or document fro many of fi cee issue commission for,10
88,88,SECTIONS,the ex a mina ti on of witness or review it dismiss an application for default or decide it ex par te h set aside any order of dismissal of any application for default or any order passe d by it ex par te i an interim order include grant an injunction or stay after provide the par ti es concerned an opportunity to be on any application make or appeal file under this an order require any person to cease and desist from commit or cause any violation of any,10
89,89,SECTIONS,enactment specify in schedule any other matter which may be all proceeding before the tribunal shall be deem to be the judicial proceeding within the meaning of section and for the purpose of sec ti on of the in dian penal of and the tribunal shall be deem to be a civil court for the purpose of section and chapter of the c ode of criminal procedure of,10
90,90,SECTIONS,tribunal to apply certain lest he tribunal shall while passing any order or decision or award apply the principle of sustainable development the precautionary principle and the,10
91,91,SECTIONS,decision to be take by majority the decision of the tribunal by majority of member shall be binding provided that if there be a difference of opinion among the member hearing an application or appeal and the opinion be equally divide the chair person shall hear if he have not ear lier such application or appeal such application or appeal and decide provided far that where the chair person himself have such application or appeal along with other member of the tribunal an d if there be a difference of opinion among the,11
92,92,SECTIONS,member in such ca es and the opinion be equally di he shall refer the matter to other member of the tribunal who shall hear such application or appeal and decide,11
93,93,SECTIONS,appeal to supreme court any per son aggrieve by any award decision or order of the tribunal may file an appeal to the supreme court within ninety day from the date of communication of the award decision or order of the tribunal to him on any one or more of the ground specify insection of the code of civil procedure of provide that the supreme court may entertain any appeal after the expiry of ninety day if it is satisfied that the appellant be prevent by sufficient cause from prefer the appeal,11
94,94,SECTIONS,cost while dispose of an application or an appeal under this act the tribunal shall have power to make such order a to cost a it may consider where the tribunal hold that a claim be not maintainable or be false or vexatious and such claim is di sal lo wed in whole or in part the tribunal may if it so think fit after record it reason for holding such claim to be false or vexatious make an order to award cost include lose benefit due to any interim injunction,11
95,95,SECTIONS,deposit of amount pa for damage to environment where any amount by way of compensation or relief be order to be pa id under any award or order make by the tribunal on the ground of any damage to environment that amount shall be remit to the authority specify under subsection of section of the public liability insurance act of for be credit to the environmental relief fund establish under that the amount of compensation or relief credit to the environmental relief fund,11
96,96,SECTIONS,under subsection may notwithstanding anything contain in the pub li c liability insurance act of be by such person or authority in such manner and for such purpose relate to environment a may be,11
97,97,SECTIONS,execution of award o r order or decision of tribunal an award or order or decision of the tribunal under this act shall be executable by the tribunal a a decree of a civil court and for this purpose the tribunal shall have all the power of a civil notwithstanding anything contain in sub section the tribunal may transmit any order or award make by it to a civil court have local jurisdiction and such civil court shall execute the order or award a if it be a decree make by that where the person,11
98,98,SECTIONS,responsible for death of or injury to any person or damage to any property and environment against whom the award or order be make by t he tribunal to make the payment or deposit the amount a direct by the tribunal within the period so specify in the award or order such amount without prejudice to the filing of complaint for prosecution for an of fence under this act or any other law for the time be in force shall be recoverable from the aforesaid person a of land revenue or of public demand chapter,11
99,99,SECTIONS,penalty for failure to comply with order of tribunal whoever to comply with any order or award or decision of the tribunal under this act he shall be punishable with imprisonment for a term which may extend to three year or with fine which may extend to ten crore rupee or with both and in case the failure or contravention continue with additional fine which may extend five thousand rupee for every day during which such failure or contravention continue after conviction for the first such failure or,11
100,100,SECTIONS,contravention provided t hat in case a company to comply with any order or award or a decision of the tribunal under this act such company shall be punishable with fine which may extend to twenty five crore rupee sand in case the failure or contravention continue with ad dit ion al fine which may extend to one for every day during which such failure or contravention continue after conviction for the first such failure or notwithstanding anything contain in the c ode of criminal procedure of every of fence under this act shall be deem to be non cognizable within the meaning of the say code,11
101,101,SECTIONS,of fence by company where any of fence under this act have be commit by a company every person who at the time the of fence be commit be directly in charge of and was responsible to the company for the conduct of the business of the company a well a the y shall be deem to be guilty of the of fence and shall be liable to be proceed against and pu ni shed accordingly provided that nothing contain in this sub section shall render any such person liable to any punishment provide in this act if he e that,12
102,102,SECTIONS,the of fence be commit without his knowledge or that he have exercise all due diligence to prevent the commission of such notwithstanding anything contain in sub section where an of fence under this act have been commit ted by t he company and it be prove that the of fence have be commit with the consent or connivance of or be attributable to any neglect on the part of any director manager secretary or other officer of the company such director manager secretary or r officer shall also be deem to be,12
103,103,SECTIONS,guilty of that of fence and shall be liable to be proceed against and punish accordingly explanation for the purpose of this section a company mean any body corporate and include a firm or other association of director in relation to a firm mean a partner in the firm,12
104,104,SECTIONS,of fence by government department where any department of the government to comply with any order or award or decision of the tribunal under this act the head of the department shall be deem to be guilty of such failure and shall be liable to be proceed against for an of fence under this act and punish accordingly provided that not hing contain in this section shall render such head of the department liable to any punishment if he prof that the of fence be commit without his knowledge or that he,12
105,105,SECTIONS,exercise all due diligence to prevent the commission of such not with stand anything contain in sub section where an of fence under this act have been commit ted by a department of the government and it be prove that the of fence have be commit with the consent or connivance of or be attributable to any neglect o n the part of any officer other than the head of the department such officer shall also be deem to be guilty of that of fence and shall be liable to be proceed against and punish accordingly chapter v,12
106,106,SECTIONS,bar of jurisdiction with effect from the date of establishment of the tribunal under this act no civil court shall have jurisdiction to entertain any appeal in respect of any matter which the tribunal be empower to determine under it appellate no civil court shall have jurisdiction to settle dispute or entertain any question relate to any claim for grant any relief or compensation or restitution of property damage or environment dam aged which may be adjudicate upon by the tribunal and no injunct ion in,12
107,107,SECTIONS,respect of any action take or to be taken by or before the tribunal in respect of the settlement of such dispute or any such claim for relief or compensation or restitution of property damage or environment damage shall be the civil court,12
108,108,SECTIONS,cognizance of of fence no court shall take cognizance of any of fence under this act except on a complaint make by a the central government or any authority or officer a ut ho rise in this behalf by that government orb any p er son who have give notice of not less than sixty day in such manner a may of the allege of fence and of his intention to make a complaint to the central government or the authority or officer a ut ho rise a no court infer io r to that of a metropolitan magistrate or a judicial magistrate of the first class shall try any of fence punishable under this act,13
109,109,SECTIONS,member and staff of tribunal to be public servant the chair person the judicial and expert member officer and other employee of the tribunal shall be deem to be public servant swith in the meaning of section of the in dian penal code of,13
110,110,SECTIONS,protection of action take in good faith no suit or other legal proceed shall lie against the e of the central government or a state government or any statutory authority for anything which be in good faith do or intend to be do in pursuance of this act or any rule or order no suit prosecution or other legal proceed shall lie against the chair person or judicial member or expert member of the tribunal or any other person a ut ho rise by the chair person or judicial member or the expert member for anything which be in good faith do or intend to be do in pursuance of this act or any rule or order make thereunder,13
111,111,SECTIONS,act to have override effect the provision of this act shall have effect notwithstanding anything inconsistent contain in any other law for the time be in force or in any instrument by virtue of any law other than this act,13
112,112,SECTIONS,power to amend schedule i the central government may by notification amend the schedule i by include therein any other act enact by parliament have regard to the objective of environmental protection and conservation of natural resource or omit therefrom any act al therein and on the date of publication of such notification such act shall be deem to be included in or a the case may be omit from the schedule a copy of every notification propose to be issue under sub section shall be,13
113,113,SECTIONS,laid in draft before each house of parliament while it be in session for a total period of thirty day which may be comprised in one session or in two or more successive session and if before the expiry of the session immediately follow the s sion or the successive session aforesaid both house agree in di sap proving the issue of the notification or both house agree in make any modification in the notification the notification shall not be issue or a the case may be shall be issue y in form a may be agree upon by both the house,13
114,114,SECTIONS,power to make rule the central government may by notification in the official gazette make rule for carry out the provision of this in particular and without to the generality of the forego power such rule may provide for all or any of the follow matter namely a rule a to the person who shall be entitle to appear before the tribunal under clause a of subsection of section the procedure for hearing application and appeal and other matter pertain to the a p plica ti ons and,13
115,115,SECTIONS,appeal under clause b of sub section of section the minimum number of member who shall hear the application and appeal in respect of any class or class of application and appeal under clause c of sub section of section the transfer of case by the chair person from one place of sit include the ordinary place of sit to other place of sit tinge the selection c and the manner of appointment of the judicial member and expert member of the tribunal under sub section of section,13
116,116,SECTIONS,the salary and allowance payable to and other term and condition of service gratuity and other retirement benefit of the chair person judicial member and expert member of the tribunal under section the procedure for inquiry of the charge against the chair person or judicial member of the tribunal under sub section of section the recruitment of officer and other employee of the tribunal under sub section of section and the salary and allowance and other condition of service of the,13
117,117,SECTIONS,officer and of the tribunal under sub section of that sect io ni the financial and administrative power to be exercise by the chair person of the tribunal under section the form of application or appeal the particular which it shall contain and the document tobe accompany by and the fee payable under subsection of section any such matter in respect of which the tribunal shall have power of a civil court under clause k of sub section of section the manner and the purpose for,13
118,118,SECTIONS,which the amount of compensation or relief credit to the environment relief fund shall be under sub section of section the manner of give notice to make a complaint under clause b of sub section of section any other matter which be require to be or may be specify by rule or in respect of which provision be to be make by every rule make under this act by the central government shall be laid a soon a may be after it is ma de before each house of parliament while it be in session for a,13
119,119,SECTIONS,total period of thirty day which may be comprise in one session or in two or more successive session and if before the expiry of the session immediately follow the session or the successive session aforesaid both house agree in making any modification in the rule or both house agree that the rule should not be make the rule shall thereafter have effect only in such modify form or be of no effect a the case may be so ho weve r that any such modification or annulment shall be without prejudice to the validity of anything previously done under that rule,13
120,120,SECTIONS,amendment of certain enactment the enactment specify in the schedule to this act shall be amend in the manner specify therein and such amendment shall take effect on the date of establishment of the tribunal,14
121,121,SECTIONS,power to remove difficulty if any difficulty ar is es in give effect to the provision of this act the central government may by order pub li shed in the official gazette make such provision snot inconsistent with the provision of this act a may appear to it to be necessary for remove the difficulty provided that no such order shall be make after the expiry of a period of two year from the commencement of this every order make under this section shall be laid a soon a may be after it be make before each house of parliament,14
122,122,SECTIONS,repeal and saving the national environment tribunal act of and the national environment appellate authority act of be hereby repeal hereinafter refer red to a the repeal notwithstanding such repeal anything do or any action take under the say act shall to have be do or take under the correspond provision of this the national environment appellate authority establish under sub section of section of the national environ men t appellate,14
123,123,SECTIONS,authority act of shall on the establish me of the national green tribunal under the national green tribunal act stand on the dissolution of the national environment appellate authority establish under subsection of section of the national environ men t appellate a ut act of the per sons appoint a the chair person vice chair person and every other person appoint a member of the say national environment appellate authority and hold office a such immediately before,14
124,124,SECTIONS,the establishment of the national green tribunal under the national green tribunal act shall vacate their respective office and no such chair person vice chair person and every other person appoint as member shall be entitle to claim any compensation for the premature t er mi nation of the term of his office or of any contract of all case pending before the national environment appellate authority establish under subsection of section of the national environment appellate authority act of on or,14
125,125,SECTIONS,before the establishment of the national green tribunal under the national green tribunal act on such establishment stand transfer to the say national green tribunal and the national green tribunal shall dispose of such case a if they be case file under that the officer or other employee who have be immediately before the dissolution of the national environment appellate authority appoint on deputation basis to the national environment appellate authority shall on such dissolution stand revert to,14
126,126,SECTIONS,their parent cadre ministry or department a the case may on the dissolution of the national environment appellate authority the officer and appoint on contract basis under the n at ion al environment appellate authority and holding office a such immediately before such dissolution shall vacate their respective office and such officer sand other employee shall be entitle to claim compensation for three month pay and allowance or pay and allowance for the remain period of service whichever be less for the,14
127,127,SECTIONS,premature termination of term of their office under their contract of the mention of the particular matter refer to in sub section to shall not be to prejudice or affect the general application of section of the general clause act of with regard to the effect of section j and,14
128,128,SECTIONS,the water prevention and control of pollution act,16
129,129,SECTIONS,the water prevention and control of pollution ce act,16
130,130,SECTIONS,the forest conservation act,16
131,131,SECTIONS,the air prevention and control of pollution act,16
132,132,SECTIONS,the environment prote act,16
133,133,SECTIONS,the public liability insurance act,16
